L0001 | 00:44 | 四Ｗ東喰赤－ | ジャムおじさん(+30.4) セクシーナイト(+5.7) ponpon(-5.3) Ⓟ楠原遊(-30.8)
L0001 | 00:46 | 四Ｗ東喰赤－ | **花**(+28.2) 六三四(+8.2) せーふてぃ(-10.0) Ⓟ能瀬美咲(-26.4)
L0001 | 00:48 | 四Ｗ東喰赤－ | 96h0use(+24.5) 真の弟子(+3.7) ひろさんさん(-7.5) コシさん(-20.7)
L0001 | 00:48 | 三Ｗ南喰赤－ | Ⓟ仁平宣明(+24.4) 小田かずま(+14.0) Ⓟ安藤りな(-38.4)
L0001 | 00:48 | 四Ｗ東喰赤－ | 無限飛翔(+25.0) Ⓟ井坂彰宏(+14.9) Ⓟ有田将之(-13.5) てるくん(-26.4)
L0001 | 00:50 | 四Ｗ東喰赤－ | Love&Ryu(+22.6) 鳩りゅうさん(+5.4) Hideyuki(-5.8) Ⓟ高畑敬太(-22.2)
L0001 | 00:51 | 三Ｗ南喰赤－ | がぼがぼ(+59.5) Shima(-3.3) フィロソフィ(-56.2)
L0001 | 00:51 | 四Ｗ東喰赤－ | ヒマジマ(+25.7) nico2222(+3.3) がくぞう(-7.7) 真一郎(-21.3)
L0001 | 00:52 | 四Ｗ東喰赤－ | Ⓟ佐々木将幸(+26.7) Ⓟ栄田勇作(+13.3) どら息子２(-1.3) Ⓟ井上泰秀(-38.7)
L0001 | 00:52 | 三Ｗ南喰赤－ | choko.(+36.6) hedgehog(+10.4) きねコー(-47.0)
L0001 | 00:54 | 三Ｗ南喰赤－ | いなづま2(+58.8) Ⓟジェン(-20.6) 十字職人(-38.2)
L0001 | 00:56 | 三Ｗ南喰赤－ | それがいい(+63.6) Namtaan(-4.9) のうてん(-58.7)
L0001 | 00:57 | 四Ｗ東喰赤－ | Ⓟ渡邉準也(+30.5) Ⓟ関本幸樹(+3.2) 8246。(-8.4) 尾張太郎(-25.3)
L0001 | 00:59 | 四Ｗ東喰赤－ | Ⓟ楠原遊(+43.6) 炎のAF(+1.3) ponpon(-11.5) ヨーグルト味(-33.4)
L0001 | 00:59 | 四Ｗ東喰赤－ | Ⓟ有田将之(+31.9) 真の弟子(+6.4) Ⓟ井坂彰宏(-11.4) ひろさんさん(-26.9)
L0001 | 01:03 | 四Ｗ東喰赤－ | Ⓟ佐々木将幸(+22.0) 96h0use(+8.2) コシさん(-3.0) どら息子２(-27.2)
L0001 | 01:03 | 三Ｗ南喰赤－ | べにぞう(+19.3) yy.(+4.0) Namtaan(-23.3)
L0001 | 01:04 | 三Ｗ南喰赤－ | それがいい(+16.4) Ⓟ安藤りな(+0.7) Ⓟ古橋崇志(-17.1)
L0001 | 01:06 | 四Ｗ東喰赤－ | nico2222(+24.1) Ⓟ関本幸樹(+6.5) ゆるもたん。(-9.0) たーぼー(-22.6)
L0001 | 01:06 | 三Ｗ南喰赤－ | フィロソフィ(+42.1) がぼがぼ(+3.0) divrcity(-45.1)
L0001 | 01:06 | 四Ｗ東喰赤－ | Ⓟ福光聖雄(+24.2) Ⓟ井上泰秀(+6.8) Ⓟ渡邉準也(-9.0) 尾張太郎(-22.0)
L0001 | 01:07 | 三Ｗ南喰赤－ | royal365(+25.6) Zakapa(+12.4) Ⓟ能瀬美咲(-38.0)
L0001 | 01:10 | 四Ｗ東喰赤－ | せーふてぃ(+30.2) ヒマジマ(+11.7) 極SAI(-10.9) MEGU0707(-31.0)
L0001 | 01:11 | 四Ｗ東喰赤－ | チル麻雀(+48.9) つのち(+7.7) **花**(-17.2) るーしー(-39.4)
L0001 | 01:15 | 三Ｗ南喰赤－ | 文福茶釜(+44.2) Ⓟジェン(-7.8) sensyuu(-36.4)
L0001 | 01:15 | 四Ｗ東喰赤－ | 十字職人(+26.9) 鳩りゅうさん(+7.8) がくぞう(-6.4) TOTSU(-29.3)
L0001 | 01:17 | 四Ｗ東喰赤－ | 輪虎１(+32.8) Ⓟ楠原遊(+11.6) ponpon(-11.4) Ⓟ栄田勇作(-33.0)
L0001 | 01:18 | 三Ｗ南喰赤－ | Ⓟ古橋崇志(+31.0) Ⓟ安藤りな(+5.2) 小田かずま(-36.2)
L0001 | 01:19 | 三Ｗ南喰赤－ | それがいい(+37.3) 紙の神(-8.4) Namtaan(-28.9)
L0001 | 01:20 | 四Ｗ東喰赤－ | Ⓟ井坂彰宏(+23.0) なーちゃん(+4.5) Ⓟ有田将之(-6.6) Ⓟ鷹見としや(-20.9)
L0001 | 01:21 | 四Ｗ東喰赤－ | ヨーグルト味(+25.6) どら息子２(+5.8) 真の弟子(-5.0) kanotomi(-26.4)
L0001 | 01:23 | 四Ｗ東喰赤－ | MEGU0707(+29.1) ShizukoH(+10.6) コシさん(-11.9) Hideyuki(-27.8)
L0001 | 01:23 | 三Ｗ南喰赤－ | Ⓟ北淳一(+45.5) yy.(+2.2) Ⓟ能瀬美咲(-47.7)
L0001 | 01:26 | 三Ｗ南喰赤－ | Ⓟ安藤りな(+19.3) Ⓟ古橋崇志(+5.2) 小田かずま(-24.5)
L0001 | 01:29 | 四Ｗ東喰赤－ | ゆるもたん。(+22.6) 極SAI(+6.6) たーぼー(-8.6) Ⓟ三好直幸(-20.6)
L0001 | 01:30 | 三Ｗ南喰赤－ | hedgehog(+16.7) Ⓟ渡辺雄輝(-3.3) Zakapa(-13.4)
L0001 | 01:30 | 四Ｗ東喰赤－ | Ⓟ井坂彰宏(+29.2) なーちゃん(+3.3) Ⓟ鷹見としや(-11.2) Ⓟ有田将之(-21.3)
L0001 | 01:31 | 四Ｗ東喰赤－ | Ⓟ山本亜衣(+27.8) 輪虎１(+10.0) Ⓟ西川雄介(-13.4) ponpon(-24.4)
L0001 | 01:32 | 三Ｗ南喰赤－ | royal365(+39.8) 文福茶釜(-5.1) Ⓟジェン(-34.7)
L0001 | 01:34 | 四Ｗ東喰赤－ | 鳩りゅうさん(+30.8) Ⓟ栄田勇作(+14.6) **花**(-11.3) つのち(-34.1)
L0001 | 01:34 | 三Ｗ南喰赤－ | Namtaan(+13.1) divrcity(-0.6) がぼがぼ(-12.5)
L0001 | 01:35 | 三Ｗ南喰赤－ | それがいい(+28.9) 紙の神(+18.5) Ⓟ安藤りな(-47.4)
L0001 | 01:38 | 三Ｗ南喰赤－ | Ⓟ能瀬美咲(+34.9) yy.(-6.5) sensyuu(-28.4)
L0001 | 01:38 | 三Ｗ南喰赤－ | Shima(+25.9) 川本佳明(+7.0) Ⓟ北淳一(-32.9)
L0001 | 01:40 | 四Ｗ東喰赤－ | Ⓟ三好直幸(+22.0) 極SAI(+4.4) たーぼー(-5.7) Ⓟ渡邉準也(-20.7)
L0001 | 01:43 | 四Ｗ東喰赤－ | Ⓟ福光聖雄(+23.0) サイタカ(+11.6) HIRO新田(-7.6) Ⓟ大倉綾菜(-27.0)
L0001 | 01:43 | 四Ｗ東喰赤－ | Ⓟ鷹見としや(+37.5) ハヤブサハヤト(+5.4) Ⓟ井坂彰宏(-14.3) Ⓟ有田将之(-28.6)
L0001 | 01:48 | 三Ｗ南喰赤－ | choko.(+29.9) それがいい(-8.8) Namtaan(-21.1)
L0001 | 01:48 | 三Ｗ南喰赤－ | divrcity(+36.0) がぼがぼ(-3.9) Ⓟ能瀬美咲(-32.1)
L0001 | 01:50 | 四Ｗ東喰赤－ | Hideyuki(+19.2) iikagenn(+6.0) ゆるもたん。(-6.8) なーちゃん(-18.4)
L0001 | 01:50 | 三Ｗ南喰赤－ | nomuman(+18.1) yy.(+5.7) sensyuu(-23.8)
L0001 | 01:53 | 四Ｗ東喰赤－ | コシさん(+24.2) Ⓟ渡邉準也(+5.5) 極SAI(-8.5) たーぼー(-21.2)
L0001 | 01:59 | 三Ｗ南喰赤－ | Ⓟ北淳一(+23.1) Ⓟジェン(+2.8) Shima(-25.9)
L0001 | 02:01 | 四Ｗ東喰赤－ | Ⓟ福光聖雄(+26.0) Ⓟ八木ヒカル(+8.7) カレンダー２(-2.6) くさおくん(-32.1)
L0001 | 02:03 | 四Ｗ東喰赤－ | Ⓟ鷹見としや(+23.2) Ⓟ井坂彰宏(+11.8) Ⓟ山本亜衣(-4.1) Poteto2(-30.9)
L0001 | 02:06 | 四Ｗ東喰赤－ | 零時.(+29.3) たーぼー(+18.4) tensi(-11.9) 96h0use(-35.8)
L0001 | 02:06 | 三Ｗ南喰赤－ | がぼがぼ(+33.5) sensyuu(-0.8) yy.(-32.7)
L0001 | 02:07 | 三Ｗ南喰赤－ | Ⓟ能瀬美咲(+37.1) それがいい(+20.6) nomuman(-57.7)
L0001 | 02:10 | 四Ｗ東喰赤－ | コシさん(+42.0) みけちゃん(+9.0) ゆるもたん。(-17.0) 極SAI(-34.0)
L0001 | 02:12 | 四Ｗ東喰赤－ | なーちゃん(+42.9) Ⓟ上田まみ(+1.2) Ⓟジェン(-11.0) iikagenn(-33.1)
L0001 | 02:16 | 四Ｗ東喰赤－ | Ⓟ井坂彰宏(+23.0) 天神２(+12.0) 鳩りゅうさん(-11.0) Ⓟ髙橋聡志(-24.0)
L0001 | 02:19 | 三Ｗ南喰赤－ | それがいい(+32.8) Ⓟ能瀬美咲(+3.8) こうの＠ゆ(-36.6)
L0001 | 02:20 | 四Ｗ東喰赤－ | tensi(+32.0) Ⓟ鷹見としや(+18.9) たーぼー(-14.8) Poteto2(-36.1)
L0001 | 02:24 | 四Ｗ東喰赤－ | 極SAI(+25.4) Ⓟ髙橋聡志(+2.9) Ⓟ渡邉準也(-8.7) Ⓟ八木ヒカル(-19.6)
L0001 | 02:26 | 三Ｗ南喰赤－ | yy.(+61.7) takasama(-25.5) choko.(-36.2)
L0001 | 02:27 | 四Ｗ東喰赤－ | Ⓟ井坂彰宏(+24.0) 天神２(0.0) くさおくん(0.0) あめんぼ(-24.0)
L0001 | 02:29 | 三Ｗ南喰赤－ | それがいい(+46.8) Ⓟ能瀬美咲(+4.5) ト－チャン(-51.3)
L0001 | 02:31 | 四Ｗ東喰赤－ | Ⓟ野々川博之(+37.3) ゆるもたん。(-0.1) Ⓟ三好直幸(-13.1) しばっこ(-24.1)
L0001 | 02:41 | 四Ｗ東喰赤－ | Ⓟ井坂彰宏(+31.6) 病原体(+7.5) Ⓟ渡邉準也(-14.3) くさおくん(-24.8)
L0001 | 02:41 | 四Ｗ東喰赤－ | ゆるもたん。(+23.0) Ⓟ三好直幸(+12.2) あめんぼ(-9.0) Ⓟ能瀬美咲(-26.2)
L0001 | 02:43 | 四Ｗ東喰赤－ | ShizukoH(+22.3) しばっこ(+5.9) Ⓟ野々川博之(-6.0) Ⓟ八木ヒカル(-22.2)
L0001 | 02:44 | 三Ｗ南喰赤－ | choko.(+58.6) takasama(-23.9) 左馬之助(-34.7)
L0001 | 02:48 | 四Ｗ東喰赤－ | yy.(+24.2) たーぼー(+8.8) tensi(-8.4) Ⓟ鷹見としや(-24.6)
L0001 | 02:51 | 四Ｗ東喰赤－ | Poteto2(+23.7) ゆるもたん。(+6.1) Ⓟ三好直幸(-6.3) Ⓟ能瀬美咲(-23.5)
L0001 | 02:56 | 四Ｗ東喰赤－ | Ⓟ八木ヒカル(+26.3) Ⓟ佐々木将幸(+14.0) あめんぼ(-13.9) ShizukoH(-26.4)
L0001 | 02:59 | 四Ｗ東喰赤－ | くさおくん(+18.1) Ⓟ渡邉準也(+6.3) たーぼー(-6.8) Ⓟ鷹見としや(-17.6)
L0001 | 02:59 | 三Ｗ南喰赤－ | yy.(+38.4) 左馬之助(-2.0) takasama(-36.4)
L0001 | 03:00 | 四Ｗ東喰赤－ | Ⓟ能瀬美咲(+23.5) 滝さん(+10.7) Ⓟ三好直幸(-10.7) tensi(-23.5)
L0001 | 03:09 | 四Ｗ東喰赤－ | Ⓟ鷹見としや(+25.3) 病原体(+10.1) Ⓟ日野太貴(-1.8) 盆栽好き(-33.6)
L0001 | 03:10 | 四Ｗ東喰赤－ | Ⓟ渡邉準也(+23.0) tensi(+8.3) くさおくん(-6.2) 滝さん(-25.1)
L0001 | 03:12 | 四Ｗ東喰赤－ | 天神２(+32.1) 零時.(+8.2) あめんぼ(-2.9) Ⓟ佐々木将幸(-37.4)
L0001 | 03:17 | 三Ｗ南喰赤－ | takasama(+28.6) yy.(+4.2) 左馬之助(-32.8)
L0001 | 03:30 | 四Ｗ東喰赤－ | tensi(+26.4) なーちゃん(+2.7) くさおくん(-9.5) うっきー(-19.6)
L0001 | 03:32 | 四Ｗ東喰赤－ | Ⓟ鷹見としや(+21.7) Ⓟ渡邉準也(+6.4) 滝さん(-8.4) Ⓟ日野太貴(-19.7)
L0001 | 03:39 | 三Ｗ南喰赤－ | takasama(+59.9) レレレ2022(-8.4) yy.(-51.5)
L0001 | 03:48 | 四Ｗ東喰赤－ | Ⓟ清水裕允(+28.9) Ⓟ小車祥(+10.0) Ⓟ鷹見としや(-12.9) Ⓟ日野太貴(-26.0)
L0001 | 03:54 | 四Ｗ東喰赤－ | くさおくん(+23.5) Ⓟ渡邉準也(+10.8) むちゃぶり(-6.6) 滝さん(-27.7)
L0001 | 03:55 | 三Ｗ南喰赤－ | 麻雀道場ネクサス(+41.7) 桐島かんな(-12.4) 左馬之助(-29.3)
L0001 | 03:58 | 四Ｗ東喰赤－ | Ⓟ日野太貴(+26.4) がくぞう(+5.1) Ⓟ清水裕允(-5.0) Ⓟ小車祥(-26.5)
L0001 | 04:09 | 四Ｗ東喰赤－ | HIRO新田(+23.3) yy.(+3.7) はやとちり(-13.5) Ⓟ月野桜悠(-13.5)
L0001 | 04:13 | 四Ｗ東喰赤－ | くさおくん(+26.4) Ⓟ渡邉準也(+7.6) ゆるもたん。(-5.0) Ⓟ日野太貴(-29.0)
L0001 | 04:23 | 四Ｗ東喰赤－ | Ⓟ小熊良衡(+32.8) REPDiGiT(+7.6) Raul-7(-8.4) Ⓟ井坂彰宏(-32.0)
L0001 | 04:25 | 四Ｗ東喰赤－ | ゆるもたん。(+23.4) 零時.(+6.5) Ⓟ渡邉準也(-8.1) Ⓟ日野太貴(-21.8)
L0001 | 04:29 | 四Ｗ東喰赤－ | くさおくん(+27.2) 三蔵法師(+3.5) Ⓟ月野桜悠(-6.7) 滝さん(-24.0)
L0001 | 04:38 | 四Ｗ東喰赤－ | Ⓟ日野太貴(+29.9) Ⓟ小熊良衡(+3.3) ponpon(-7.7) 零時.(-25.5)
L0001 | 04:39 | 四Ｗ東喰赤－ | かりんちょ(+19.6) KIJ(+8.4) 病原体(-7.0) Ⓟ中原進二(-21.0)
L0001 | 04:47 | 四Ｗ東喰赤－ | Ⓟ佐々木将幸(+25.8) 三蔵法師(+8.5) トシじい(-5.5) GC328(-28.8)
L0001 | 04:52 | 四Ｗ東喰赤－ | Ⓟ中原進二(+38.3) ユータマ(+5.5) かりんちょ(-13.2) Ⓟ杉村泰治(-30.6)
L0001 | 04:55 | 四Ｗ東喰赤－ | KIJ(+14.0) Ⓟ小熊良衡(+14.0) ponpon(-6.0) Ⓟ日野太貴(-22.0)
L0001 | 05:01 | 四Ｗ東喰赤－ | 猪八戒(+28.1) GC328(+5.9) ゆるもたん。(-9.6) Ⓟ佐々木将幸(-24.4)
L0001 | 05:06 | 四Ｗ東喰赤－ | Ⓟ小熊良衡(+24.9) 病原体(+13.8) ponpon(-7.6) Ⓟ日野太貴(-31.1)
L0001 | 05:10 | 四Ｗ東喰赤－ | GC328(+20.0) ゆるもたん。(+7.1) てつ兄(-6.3) 96h0use(-20.8)
L0001 | 05:18 | 四Ｗ東喰赤－ | Ⓟ渡邉準也(+22.9) Ⓟ中原進二(+8.4) カレンダー２(-5.8) かりんちょ(-25.5)
L0001 | 05:23 | 四Ｗ東喰赤－ | Ⓟ杉村泰治(+24.0) 病原体(+9.5) Ⓟ日野太貴(-8.0) Ⓟ小熊良衡(-25.5)
L0001 | 05:24 | 三Ｗ南喰赤－ | Tamo2(+63.3) FARGO(+13.7) 左馬之助(-77.0)
L0001 | 05:24 | 四Ｗ東喰赤－ | ponpon(+26.7) てつ兄(+8.1) ゆるもたん。(-6.3) 96h0use(-28.5)
